instance,n_stops,default_service_time_s,drive_time_s,service_time_s,total_time_s,service_time_share_pct
small,8,60.0,1820.0117687687273,480.0,2300.011768768727,20.869458431378376
small,8,120.0,1820.0117687687273,960.0,2780.011768768727,34.532227913020165
small,8,180.0,1820.0117687687273,1440.0,3260.011768768727,44.171619679271075
small,8,240.0,1820.0117687687273,1920.0,3740.011768768727,51.33673685289219
small,8,300.0,1820.0117687687273,2400.0,4220.011768768727,56.87187930995387
medium,20,60.0,6652.2360590183525,1200.0,7852.2360590183525,15.282271075151783
medium,20,120.0,6652.2360590183525,2400.0,9052.236059018353,26.512786281230298
medium,20,180.0,6652.2360590183525,3600.0,10252.236059018353,35.11429096322133
medium,20,240.0,6652.2360590183525,4800.0,11452.236059018353,41.91321219073299
medium,20,300.0,6652.2360590183525,6000.0,12652.236059018353,47.42244747894406
large,40,60.0,11353.19245937421,2400.0,13753.19245937421,17.450493818721732
large,40,120.0,11353.19245937421,4800.0,16153.19245937421,29.71548820502295
large,40,180.0,11353.19245937421,7200.0,18553.192459374208,38.80733742058564
large,40,240.0,11353.19245937421,9600.0,20953.192459374208,45.816407302196446
large,40,300.0,11353.19245937421,12000.0,23353.192459374208,51.3848375157936
